iShares MSCI Emerging Markets ETF
Fund Holdings as of,"Dec 17, 2020"
Inception Date,"Apr 07, 2003"
Shares Outstanding,"546,300,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"PETR4","PETROLEO BRASILEIRO PREF SA","Energy","Equity","95,990,365.33","0.34","95,990,365.33","17,198,727.00","S26845321","BRPETRACNPR6","2684532","5.58","Brazil","XBSP","USD","5.06","BRL","-"
"005380","HYUNDAI MOTOR","Consumer Discretionary","Equity","95,195,987.10","0.34","95,195,987.10","546,365.00","S64510555","KR7005380001","6451055","174.24","Korea (South)","Korea Exchange (Stock Market)","USD","1,093.35","KRW","-"
"TAL","TAL EDUCATION GROUP ADR REPTG","Consumer Discretionary","Equity","94,191,729.98","0.34","94,191,729.98","1,359,973.00","874080104","US8740801043","B4MGD82","69.26","China","New York Stock Exchange Inc.","USD","1.00","USD","-"
"3988","BANK OF CHINA LTD H","Financials","Equity","93,824,924.54","0.34","93,824,924.54","278,678,000.00","-","CNE1000001Z5","B154564","0.34","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"HINDUNILVR","HINDUSTAN UNILEVER LTD","Consumer Staples","Equity","93,396,557.34","0.34","93,396,557.34","2,968,234.00","S62616743","INE030A01027","6261674","31.47","India","National Stock Exchange Of India","USD","73.58","INR","-"
"EDU","NEW ORIENTAL EDUCATION & TECHNOLOG","Consumer Discretionary","Equity","90,251,186.52","0.32","90,251,186.52","545,028.00","647581107","US6475811070","B1CN1G6","165.59","China","New York Stock Exchange Inc.","USD","1.00","USD","-"
"B3SA3","B3 BRASIL BOLSA BALCAO SA","Financials","Equity","87,577,125.67","0.31","87,577,125.67","7,330,401.00","-","BRB3SAACNOR6","BG36ZK1","11.95","Brazil","XBSP","USD","5.06","BRL","-"
"2010","SAUDI BASIC INDUSTRIES","Materials","Equity","87,200,601.59","0.31","87,200,601.59","3,239,157.00","-","SA0007879121","B1324D0","26.92","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR","-"
"1120","AL RAJHI BANK","Financials","Equity","86,382,788.30","0.31","86,382,788.30","4,379,549.00","-","SA0007879113","B12LZH9","19.72","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR","-"
"3968","CHINA MERCHANTS BANK LTD H","Financials","Equity","86,124,347.20","0.31","86,124,347.20","13,894,967.00","-","CNE1000002M1","B1DYPZ5","6.20","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"BBCA","BANK CENTRAL ASIA","Financials","Equity","85,794,382.13","0.31","85,794,382.13","34,899,200.00","-","ID1000109507","B01C1P6","2.46","Indonesia","Indonesia Stock Exchange","USD","14,105.00","IDR","-"
"AMXL","AMERICA MOVIL L","Communication","Equity","85,436,214.74","0.31","85,436,214.74","119,271,000.00","S26674705","MXP001691213","2667470","0.72","Mexico","Bolsa Mexicana De Valores","USD","19.84","MXN","-"
"YUMC","YUM CHINA HOLDINGS INC","Consumer Discretionary","Equity","82,815,575.79","0.30","82,815,575.79","1,420,751.00","98850P109","US98850P1093","BYW4289","58.29","China","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BBDC4","BANCO BRADESCO PREF SA","Financials","Equity","81,611,628.41","0.29","81,611,628.41","15,198,326.00","-","BRBBDCACNPR8","B00FM53","5.37","Brazil","XBSP","USD","5.06","BRL","-"
"600519","KWEICHOW MOUTAI LTD A","Consumer Staples","Equity","78,466,620.77","0.28","78,466,620.77","274,087.00","-","CNE0000018R8","BP3R2F1","286.28","China","Shanghai Stock Exchange","USD","6.53","CNY","-"
"QNBK","QATAR NATIONAL BANK","Financials","Equity","78,023,098.86","0.28","78,023,098.86","15,826,301.00","S61481974","QA0006929895","6148197","4.93","Qatar","Qatar Exchange","USD","3.64","QAR","-"
"YNDX","YANDEX NV CLASS A","Communication","Equity","75,941,869.89","0.27","75,941,869.89","1,071,471.00","-","NL0009805522","BMSK1G8","70.88","Russian Federation","Standard-Classica-Forts","USD","72.87","RUB","-"
"PETR3","PETROBRAS","Energy","Equity","73,367,533.12","0.26","73,367,533.12","12,836,274.00","S26823658","BRPETRACNOR9","2682365","5.72","Brazil","XBSP","USD","5.06","BRL","-"
"2222","SAUDI ARABIAN OIL","Energy","Equity","72,237,727.57","0.26","72,237,727.57","7,699,372.00","-","SA14TG012N13","BJTM270","9.38","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR","-"
